city,town,url
富山県,富山市,https://www.city.toyama.lg.jp/bosai/bosai/1010665/1014492.html
富山県,高岡市,https://www.city.takaoka.toyama.jp/saigai/shien_taiou.html
富山県,魚津市,https://www.city.uozu.toyama.jp/emergency.aspx
富山県,氷見市,https://www.city.himi.toyama.jp/emergency/index.html
富山県,滑川市,https://www.city.namerikawa.toyama.jp/important_notice/8464.html
富山県,黒部市,https://www.city.kurobe.toyama.jp/news/detail.aspx?servno=36579
富山県,砺波市,https://www.city.tonami.lg.jp/emergency/66583p/
富山県,小矢部市,https://www.city.oyabe.toyama.jp/kurashi/1002236/1002243/1005440/1005446.html
富山県,南砺市,https://www.city.nanto.toyama.jp/cms-sypher/www/info/detail.jsp?id=26973
富山県,射水市,https://www.city.imizu.toyama.jp/event-topics/svTopiDtl.aspx?servno=27683
富山県,舟橋村,https://www.vill.funahashi.toyama.jp/wp/topics_origin/yakuba/
富山県,上市町,https://www.town.kamiichi.toyama.jp/soshiki/list1-1.html
富山県,立山町,https://www.town.tateyama.toyama.jp/news.html
富山県,入善町,https://www.town.nyuzen.toyama.jp/news.html
富山県,朝日町,https://www.town.asahi.toyama.jp/kinkyujouhou/index.html
新潟県,新潟市,https://www.city.niigata.lg.jp/kurashi/bosai/240101saigai.html
新潟県,長岡市,https://www.city.nagaoka.niigata.jp/kurashi/cate93/index.html
新潟県,三条市,https://www.city.sanjo.niigata.jp/bosai_bohan/bosai/17913.html
新潟県,柏崎市,https://www.city.kashiwazaki.lg.jp/bosai_bohan_shobo/bosai/saigainokiroku/20240101_notohanto-earthquake/index.html
新潟県,新発田市,https://www.city.shibata.lg.jp/arrival.html
新潟県,小千谷市,https://www.city.ojiya.niigata.jp/soshiki/bousai/r6-notoearthquake.html
新潟県,加茂市,https://www.city.kamo.niigata.jp/docs/180298.html
新潟県,十日町市,https://www.city.tokamachi.lg.jp/oshirase.html
新潟県,見附市,https://www.city.mitsuke.niigata.jp/soshiki/2/20596.html
新潟県,村上市,https://www.city.murakami.lg.jp/soshiki/131/20240101hinan.html
新潟県,燕市,https://www.city.tsubame.niigata.jp/kurashi/bosai/22/16820.html
新潟県,糸魚川市,https://www.city.itoigawa.lg.jp/9498.htm
新潟県,妙高市,https://www.city.myoko.niigata.jp/news/
新潟県,五泉市,https://www.city.gosen.lg.jp/kinkyu/5470.html
新潟県,上越市,https://www.city.joetsu.niigata.jp/site/r6-01-01-earthquake/shienlist.html
新潟県,阿賀野市,https://www.city.agano.niigata.jp/news.html
新潟県,佐渡市,https://www.city.sado.niigata.jp/site/bousai/56949.html
新潟県,魚沼市,https://www.city.uonuma.lg.jp/soshiki/list1-1.html
新潟県,南魚沼市,https://www.city.minamiuonuma.niigata.jp/docs/53524.html
新潟県,胎内市,https://www.city.tainai.niigata.jp/shinchaku/index.html
新潟県,聖籠町,https://www.town.seiro.niigata.jp/
新潟県,弥彦村,https://www.vill.yahiko.niigata.jp/information/
新潟県,田上町,https://www.town.tagami.niigata.jp/oshirase/news/
新潟県,阿賀町,https://www.town.aga.niigata.jp/news.html
新潟県,出雲崎町,https://www.town.izumozaki.niigata.jp/
新潟県,湯沢町,https://www.town.yuzawa.lg.jp/news_list.html
新潟県,津南町,https://www.town.tsunan.niigata.jp/soshiki/list1-1.html
新潟県,刈羽村,http://www.vill.kariwa.niigata.jp/www/search/top_new_list.jsp
新潟県,関川村,http://www.vill.sekikawa.niigata.jp/news/index.html
新潟県,粟島浦村,https://www.vill.awashimaura.lg.jp/news/
石川県,金沢市,https://www4.city.kanazawa.lg.jp/
石川県,七尾市,https://www.city.nanao.lg.jp/
石川県,小松市,https://www.city.komatsu.lg.jp/news.html
石川県,輪島市,https://www.city.wajima.ishikawa.jp/categories/disaster/disaster/
石川県,珠洲市,https://www.city.suzu.lg.jp/
石川県,加賀市,https://www.city.kaga.ishikawa.jp/kinkyu/index.html
石川県,羽咋市,https://www.city.hakui.lg.jp/kinkyu/index.html
石川県,かほく市,https://www.city.kahoku.lg.jp/
石川県,白山市,https://www.city.hakusan.lg.jp/
石川県,能美市,https://www.city.nomi.ishikawa.jp/www/genre/1559711330381/index.html
石川県,野々市市,https://www.city.nonoichi.lg.jp/site/earthquake/
石川県,川北町,https://www.town.kawakita.ishikawa.jp/news/
石川県,津幡町,https://www.town.tsubata.lg.jp/emergency_information/20240101saigai.html
石川県,内灘町,https://www.town.uchinada.lg.jp/site/earthquake/
石川県,志賀町,https://www.town.shika.lg.jp/
石川県,宝達志水町,https://www.hodatsushimizu.jp/index.html
石川県,中能登町,http://www.town.nakanoto.ishikawa.jp/
石川県,穴水町,https://www.town.anamizu.lg.jp/kankyouanzen/notohantojishin.html
石川県,能登町,http://www.town.noto.lg.jp/www/bosai/index.jsp
