city,town,last_update,2024011212,2024011213,2024011214,2024011215,2024011216,2024011218,2024011219,2024011313,2024011315,2024011321,2024011322,2024011323
TEST県,TEST市,2024011323,-,True,-,False,False,False,False,False,False,False,False,False
富山県,富山市,2024011323,-,True,-,False,True,False,True,True,True,True,True,True
富山県,高岡市,2024011323,-,True,True,True,False,True,True,False,True,True,True,True
富山県,魚津市,2024011323,-,True,True,True,False,False,True,True,True,True,True,True
富山県,氷見市,2024011323,-,True,True,True,True,True,True,False,True,False,True,True
富山県,滑川市,2024011323,-,True,True,True,True,True,False,True,True,True,True,True
富山県,黒部市,2024011323,-,True,True,True,True,True,True,True,True,True,True,True
富山県,砺波市,2024011323,-,False,True,True,False,False,True,True,True,True,True,True
富山県,小矢部市,2024011323,-,,True,False,False,False,False,True,True,False,True,True
富山県,南砺市,2024011323,-,,False,False,False,False,False,False,False,False,False,False
富山県,射水市,2024011323,-,,True,False,True,False,True,False,True,True,True,True
富山県,舟橋村,2024011323,-,,True,True,True,True,True,True,True,True,True,True
富山県,上市町,2024011323,-,,True,True,True,False,True,True,True,True,True,True
富山県,立山町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
富山県,入善町,2024011323,-,,False,True,True,True,True,True,True,True,True,True
富山県,朝日町,2024011323,-,,True,True,True,False,True,True,True,True,True,True
新潟県,新潟市,2024011323,-,,False,False,False,False,False,False,True,False,True,True
新潟県,長岡市,2024011323,-,,True,False,False,True,True,True,True,True,True,True
新潟県,三条市,2024011323,-,,True,True,True,False,True,True,True,True,True,True
新潟県,柏崎市,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,新発田市,2024011323,,-,True,True,True,False,False,False,True,True,True,True
新潟県,小千谷市,2024011323,-,,True,True,False,False,True,False,True,True,True,True
新潟県,加茂市,2024011323,-,,True,False,False,True,True,False,True,True,True,True
新潟県,十日町市,2024011323,,-,True,False,False,False,False,False,True,True,True,True
新潟県,見附市,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,村上市,2024011323,-,,True,False,True,True,True,False,True,True,True,True
新潟県,燕市,2024011323,-,,False,True,True,False,True,True,True,True,True,True
新潟県,糸魚川市,2024011323,,-,False,False,False,False,False,False,False,False,False,False
新潟県,妙高市,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,五泉市,2024011323,,-,True,True,True,False,False,True,True,True,True,True
新潟県,上越市,2024011323,-,,True,True,False,False,False,False,True,False,True,True
新潟県,阿賀野市,2024011323,-,,False,False,False,False,False,False,True,True,True,True
新潟県,佐渡市,2024011323,-,,False,True,False,True,True,True,True,True,True,True
新潟県,魚沼市,2024011323,,-,True,False,True,False,True,True,True,True,True,True
新潟県,南魚沼市,2024011323,-,,True,False,True,False,True,True,True,True,True,True
新潟県,胎内市,2024011323,-,,True,True,True,False,True,False,True,True,True,True
新潟県,聖籠町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,弥彦村,2024011323,-,,True,True,True,True,True,False,True,True,True,True
新潟県,田上町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,阿賀町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,出雲崎町,2024011323,-,,True,True,False,True,True,True,True,True,True,True
新潟県,湯沢町,2024011323,,-,True,True,True,True,True,True,True,True,True,True
新潟県,津南町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,刈羽村,2024011323,-,,True,True,True,True,True,True,True,True,True,True
新潟県,関川村,2024011323,,,-,True,True,True,True,True,True,True,True,True
新潟県,粟島浦村,2024011323,,-,True,True,True,True,True,True,True,True,True,True
石川県,金沢市,2024011323,-,,False,True,False,False,True,False,False,False,True,True
石川県,七尾市,2024011323,-,,True,False,False,False,True,False,True,False,True,True
石川県,小松市,2024011323,,,,-,True,True,True,True,True,True,True,True
石川県,輪島市,2024011323,-,,True,False,True,False,False,False,False,False,True,True
石川県,珠洲市,2024011323,,-,True,True,False,False,False,False,True,False,True,True
石川県,加賀市,2024011323,-,,False,False,True,True,True,True,False,True,True,True
石川県,羽咋市,2024011323,-,,False,False,False,False,False,False,False,False,True,True
石川県,かほく市,2024011323,,-,True,True,True,False,True,False,True,False,True,True
石川県,白山市,2024011323,,-,True,True,True,False,False,True,True,True,True,True
石川県,能美市,2024011323,-,,False,True,True,False,True,True,True,True,True,True
石川県,野々市市,2024011323,-,,True,True,True,False,True,True,True,True,True,True
石川県,川北町,2024011323,-,,True,True,False,True,True,True,False,False,True,True
石川県,津幡町,2024011323,,-,False,False,False,False,True,False,False,False,False,True
石川県,内灘町,2024011323,-,,True,False,False,False,False,False,True,False,True,True
石川県,志賀町,2024011323,,-,True,True,False,False,False,False,False,False,True,True
石川県,宝達志水町,2024011323,,-,True,True,False,False,True,False,True,False,True,True
石川県,中能登町,2024011323,-,,True,True,False,True,True,False,True,False,True,True
石川県,穴水町,2024011323,-,,True,True,True,True,True,True,True,True,True,True
石川県,能登町,2024011323,-,,True,False,False,True,False,False,True,False,True,False
